date,n1,n2,n3,n4,n5
2019-01-01 00:00:00,-1.478,0.297,-0.782,0.547,0.516
2019-01-01 01:00:00,-0.073,1.171,-0.81,-0.199,0.916
2019-01-01 02:00:00,-0.521,-1.716,-0.004,-1.438,-0.089
2019-01-01 03:00:00,-0.82,0.01,-0.679,-0.086,1.227
2019-01-01 04:00:00,0.756,0.426,0.223,-1.089,0.666
2019-01-01 05:00:00,0.992,2.247,0.807,-1.128,0.147
2019-01-01 06:00:00,0.091,-0.143,-0.934,-1.643,0.951
2019-01-01 07:00:00,-0.553,-1.893,-0.927,0.531,0.999
2019-01-01 08:00:00,-0.155,-0.432,-0.328,-0.945,-0.793
2019-01-01 09:00:00,-0.107,1.154,0.367,0.382,0.379
2019-01-01 10:00:00,-0.079,-1.027,0.657,-1.092,-0.021
2019-01-01 11:00:00,0.054,2.26,0.235,0.956,0.073
2019-01-01 12:00:00,-0.651,0.252,2.19,0.766,0.219
2019-01-01 13:00:00,0.444,-0.911,0.128,-0.517,-0.98
2019-01-01 14:00:00,-1.435,0.13,0.465,-0.672,2.129
2019-01-01 15:00:00,-1.606,1.102,1.059,-0.096,1.224
2019-01-01 16:00:00,-0.902,-1.064,2.436,0.235,1.183
2019-01-01 17:00:00,1.558,-0.167,-0.703,-0.142,-1.211
2019-01-01 18:00:00,0.187,0.708,1.396,-1.204,0.735
2019-01-01 19:00:00,-1.897,-1.068,1.184,0.958,-1.176
2019-01-01 20:00:00,-0.434,2.037,-0.6,-1.694,0.936
2019-01-01 21:00:00,-1.585,-1.141,-0.166,-1.207,-1.087
2019-01-01 22:00:00,0.335,0.522,-0.617,-0.256,-0.297
2019-01-01 23:00:00,0.571,-1.311,1.31,-1.34,-0.759
2019-01-02 00:00:00,-0.956,0.324,1.143,1.415,0.014
2019-01-02 01:00:00,0.566,0.777,-1.65,-1.526,-1.692
2019-01-02 02:00:00,0.179,-1.138,0.268,0.001,0.348
2019-01-02 03:00:00,-0.317,0.293,-0.465,0.728,0.042
2019-01-02 04:00:00,1.511,0.173,1.077,-0.441,-0.522
2019-01-02 05:00:00,1.124,-0.787,-0.322,-1.332,-0.371
2019-01-02 06:00:00,-0.846,-0.508,1.748,0.949,0.181
2019-01-02 07:00:00,-1.126,-0.415,-1.068,0.258,2.133
2019-01-02 08:00:00,-2.103,0.645,1.451,0.311,1.661
2019-01-02 09:00:00,0.7,-1.403,-1.2,-2.748,1.286
2019-01-02 10:00:00,3.012,0.932,1.399,-0.438,0.396
